AIRO_ID,Roll_No,Off_Name,Add_1,Add_2,Add_3,Add_4,County,Ethos,Island,DEIS,Gaeltacht,M_13_14,F_13_14,T_13_14,xcoord,ycoord,Long,Lat,Sex
1102,16461C,CAISLEAIN NUA LIAMHNA,NEWCASTLE LYONS,CO DUBLIN,128,,Dublin,CATHOLIC,N,N,N,218,177,395,299913.0,228668.0,-6.50124,53.2989,Mixed
1103,16983J,S N NAOMH CILLIN,"ROBINHOOD RD., BLUEBELL",INCHICORE,DUBLIN 12,112,Dublin,CATHOLIC,N,Y,N,11,12,23,310272.0,231787.0,-6.3448400000000005,53.3249,Mixed
1104,17055T,S N  NAOMH MHUIRE,SAGGART,CO DUBLIN,130,,Dublin,CATHOLIC,N,N,N,240,242,482,303834.0,226479.0,-6.443169999999999,53.2785,Mixed
1105,17899C,SCOIL CARMEL,TEACH GIUISE,TALLAGHT,DUBLIN 24,124,Dublin,CATHOLIC,N,N,N,229,218,447,310942.0,227354.0,-6.33634,53.2849,Mixed
1106,17953F,S N BHAILE EAMONN,RATHFARNHAM,DUBLIN 14,114,,Dublin,CATHOLIC,N,N,N,43,47,90,313508.0,225593.0,-6.2985,53.2685,Mixed
1107,17996A,GLEN NA SMOL N S,GLEN NA SMAL,TALLAGHT,DUBLIN 24,124,Dublin,CATHOLIC,N,N,N,36,40,76,309688.0,222907.0,-6.35666,53.2452,Mixed
1108,18173H,S N BRIOTAS,BRITTAS,CO DUBLIN,,,Dublin,CATHOLIC,N,N,N,55,47,102,303390.0,221610.0,-6.4514,53.2348,Mixed
1109,18323A,SCOIL LORCAIN B,PALMERSTOWN,DUBLIN 20,,,Dublin,CATHOLIC,N,N,N,371,0,371,308655.0,234793.0,-6.3680699999999995,53.3522,Male
1110,18324C,SCOIL BRIDE C,PALMERSTOWN,DUBLIN 20,,,Dublin,CATHOLIC,N,N,N,0,352,352,308615.0,234756.0,-6.36868,53.3519,Female
1111,18411U,ST MARYS SCHOOL,GREENHILLS ROAD,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,N,N,175,188,363,309594.0,227907.0,-6.35635,53.2901,Mixed
1112,18602E,SCOIL MHUIRE,CLONDALKIN,DUBLIN 22,,,Dublin,CATHOLIC,N,N,N,121,242,363,307052.0,230913.0,-6.39344,53.3177,Mixed
1113,18642Q,S N NAOMH EOIN,TOWER ROAD,CLONDALKIN,DUBLIN 22,,Dublin,CHURCH OF IRELAND,N,N,N,43,46,89,307033.0,231340.0,-6.39358,53.3215,Mixed
1114,18655C,SCOIL NAOMH SEOSAMH,CLONDALKIN,DUBLIN 22,,,Dublin,CATHOLIC,N,N,N,415,0,415,307012.0,230845.0,-6.39407,53.3171,Male
1115,19114T,ST PATRICK GNS,BALLYROAN,RATHFARNHAM,DUBLIN 16,,Dublin,CATHOLIC,N,N,N,131,365,496,313414.0,227547.0,-6.2992099999999995,53.2861,Mixed
1116,19158Q,ST PETERS B N S,LIMEKILN RD,GREENHILLS,DUBLIN 12,,Dublin,CATHOLIC,N,N,N,192,0,192,311483.0,229584.0,-6.32744,53.3048,Male
1117,19159S,ST PAULS G N S,GREENHILLS,KIMMAGE WEST,DUBLIN 12,,Dublin,CATHOLIC,N,N,N,0,260,260,311416.0,229980.0,-6.32831,53.3084,Female
1118,19177U,ST PIUS X N S BOYS,FORTFIELD PARK,TERENURE,DUBLIN 6,,Dublin,CATHOLIC,N,N,N,520,0,520,313019.0,229365.0,-6.30449,53.3025,Male
1119,19178W,ST PIUS X G N S,FORTFIELD PARK,TERENURE,DUBLIN 6,,Dublin,CATHOLIC,N,N,N,0,525,525,313067.0,229354.0,-6.30377,53.3024,Female
1120,19220S,SCOIL NAOMH IDE,CLONDALKIN,DUBLIN 22,,,Dublin,CATHOLIC,N,N,N,85,212,297,307198.0,230849.0,-6.39127,53.3171,Mixed
1121,19221U,SCOIL NAOMH AINE,CLONDALKIN,DUBLIN 22,,,Dublin,CATHOLIC,N,N,N,76,210,286,307197.0,230828.0,-6.3913,53.3169,Mixed
1122,19390U,ST MARKS SEN NS,SPRINGFIELD,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,N,N,287,231,518,307602.0,227494.0,-6.38635,53.2868,Mixed
1123,19446V,SCOIL MHUIRE BOYS,GRANGE ROAD,RATHFARNHAM,DUBLIN 14,,Dublin,CATHOLIC,N,N,N,478,0,478,314477.0,228515.0,-6.28293,53.2946,Male
1124,19462T,SCOIL MAELRUAIN JUNIOR,OLD BAWN,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,N,N,233,201,434,309273.0,226501.0,-6.36164,53.2776,Mixed
1125,19463V,SCOIL MAELRUAIN SENIOR,OLD BAWN,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,N,N,189,174,363,309248.0,226518.0,-6.36201,53.2777,Mixed
1126,19464A,SN NAOMH COLMCILLE,HOMELAWNS,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,Y,N,15,23,38,309629.0,227394.0,-6.356,53.2855,Mixed
1127,19465C,ST KEVINS BOYS,KILNAMANAGH,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,N,N,281,0,281,309474.0,229120.0,-6.35773,53.3011,Male
1128,19466E,ST KEVINS GIRLS,KILNAMANAGH,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,N,N,0,268,268,309457.0,229135.0,-6.35798,53.3012,Female
1129,19472W,ST MARKS JUNIOR N S,SPRINGFIELD,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,N,N,311,255,566,307632.0,227479.0,-6.38591,53.2867,Mixed
1130,19474D,SCOIL COLMCILLE NAOFA,KNOCKLYON,TEMPLEOGUE,DUBLIN 16,,Dublin,CATHOLIC,N,N,N,396,366,762,312363.0,227269.0,-6.3150699999999995,53.2838,Mixed
1131,19490B,SCOIL MHUIRE,BALLYBODEN,DUBLIN 16,,,Dublin,CATHOLIC,N,Y,N,104,128,232,314159.0,226711.0,-6.28835,53.2784,Mixed
1132,19494J,BISHOP GALVIN NS,ORWELL PARK,TEMPLEOGUE,DUBLIN 16,,Dublin,CATHOLIC,N,N,N,259,218,477,312152.0,228821.0,-6.31768,53.2978,Mixed
1133,19502F,SCOIL AENGHUSA JUN NS,BALROTHERY,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,Y,N,104,106,210,310382.0,228221.0,-6.34443,53.2928,Mixed
1134,19503H,SCOIL CHRONAIN,SRAID MOR,RATH CUIL,CO ATHA CLIATH,,Dublin,CATHOLIC,N,N,N,139,129,268,302250.0,226786.0,-6.46681,53.2815,Mixed
1135,19509T,SCOIL NANO NAGLE,BAWNOGE,CLONDALKIN,DUBLIN 22,,Dublin,CATHOLIC,N,Y,N,173,148,321,305764.0,231804.0,-6.41247,53.3259,Mixed
1136,19510E,TALBOT SENIOR NS,BAWNOGE,CLONDALKIN,DUBLIN 22,,Dublin,CATHOLIC,N,Y,N,170,149,319,305781.0,231796.0,-6.41221,53.3259,Mixed
1137,19541P,BELGARD HEIGHTS N S,SCOIL ARD MHUIRE,BELGARD HEIGHTS,TALLAGHT,DUBLIN 24,Dublin,CATHOLIC,N,N,N,197,179,376,307679.0,228750.0,-6.38477,53.2981,Mixed
1138,19542R,ST THOMAS JUNIOR NATIONAL SCHOOL,ESKER,LUCAN,CO DUBLIN,,Dublin,CATHOLIC,N,N,N,260,251,511,303339.0,234255.0,-6.44805,53.3484,Mixed
1139,19543T,SCOIL N AN CROI RO NAOFA,KILLINARDEN,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,Y,N,145,137,282,307959.0,226362.0,-6.38138,53.2766,Mixed
1140,19556F,ST KILLIANS JUNIOR SCHOOL,CASTLEVIEW,TALLAGHT,DUBLIN 24,,Dublin,CATHOLIC,N,N,N,136,134,270,308738.0,229724.0,-6.3685599999999996,53.3066,Mixed
1141,19565G,SCOIL TREASA FIRHOUSE,SCOIL TREASA BALLYCULLEN AVE,FIRHOUSE,DUBLIN 24,,Dublin,CATHOLIC,N,N,N,203,184,387,310838.0,226868.0,-6.33806,53.2806,Mixed
